"cp=1252",""
"7870","Okay.. Which part of armor do you want? One thing you must remember is that I cannot tell what kind of magic option this armor will have!!"
"7881","Hey!! I told you to get the cheap upgrade warrior pauldron from the store. Find vendor Jared. He should be near Moradon garrison. You should be able to buy cheap upgrade armors from him. Buy the cheapest one that fits your job!! And don't wear it!! Bring it straight back to me!!"
"7882","Hey!! I told you to get the cheap upgrade warrior pad from the store. Find vendor Jared. He should be near Moradon garrison. You should be able to buy cheap upgrade armors from him. Buy the cheapest one that fits your job!! And don't wear it!! Bring it straight back to me!!"
"7883","Hey!! I told you to get the cheap upgrade warrior helmet from the store. Find vendor Jared. He should be near Moradon garrison. You should be able to buy cheap upgrade armors from him. Buy the cheapest one that fits your job!! And don't wear it!! Bring it straight back to me!!"
"7884","Hey!! I told you to get the cheap upgrade warrior gloves from the store. Find vendor Jared. He should be near Moradon garrison. You should be able to buy cheap upgrade armors from him. Buy the cheapest one that fits your job!! And don't wear it!! Bring it straight back to me!!"
"7885","Hey!! I told you to get the cheap upgrade warrior boots from the store. Find vendor Jared. He should be near Moradon garrison. You should be able to buy cheap upgrade armors from him. Buy the cheapest one that fits your job!! And don't wear it!! Bring it straight back to me!!"
"7886","Hey!! I told you to get the cheap upgrade rogue pauldron from the store. Find vendor Jared. He should be near Moradon garrison. You should be able to buy cheap upgrade armors from him. Buy the cheapest one that fits your job!! And don't wear it!! Bring it straight back to me!!"
"7887","Hey!! I told you to get the cheap upgrade rogue pad from the store. Find vendor Jared. He should be near Moradon garrison. You should be able to buy cheap upgrade armors from him. Buy the cheapest one that fits your job!! And don't wear it!! Bring it straight back to me!!"
"7888","Hey!! I told you to get the cheap upgrade rogue helmet from the store. Find vendor Jared. He should be near Moradon garrison. You should be able to buy cheap upgrade armors from him. Buy the cheapest one that fits your job!! And don't wear it!! Bring it straight back to me!!"
"7889","Hey!! I told you to get the cheap upgrade rogue gauntlet from the store. Find vendor Jared. He should be near Moradon garrison. You should be able to buy cheap upgrade armors from him. Buy the cheapest one that fits your job!! And don't wear it!! Bring it straight back to me!!"
"7890","Hey!! I told you to get the cheap upgrade rogue boots from the store. Find vendor Jared. He should be near Moradon garrison. You should be able to buy cheap upgrade armors from him. Buy the cheapest one that fits your job!! And don't wear it!! Bring it straight back to me!!"
"7891","Hey!! I told you to get the cheap upgrade magician pauldron from the store. Find vendor Jared. He should be near Moradon garrison. You should be able to buy cheap upgrade armors from him. Buy the cheapest one that fits your job!! And don't wear it!! Bring it straight back to me!!"
"7892","Hey!! I told you to get the cheap upgrade magician pad from the store. Find vendor Jared. He should be near Moradon garrison. You should be able to buy cheap upgrade armors from him. Buy the cheapest one that fits your job!! And don't wear it!! Bring it straight back to me!!"
"7893","Hey!! I told you to get the cheap upgrade magician helmet from the store. Find vendor Jared. He should be near Moradon garrison. You should be able to buy cheap upgrade armors from him. Buy the cheapest one that fits your job!! And don't wear it!! Bring it straight back to me!!"
"7894","Hey!! I told you to get the cheap upgrade magician gauntlet from the store. Find vendor Jared. He should be near Moradon garrison. You should be able to buy cheap upgrade armors from him. Buy the cheapest one that fits your job!! And don't wear it!! Bring it straight back to me!!"
"7895","Hey!! I told you to get the cheap upgrade magician boots from the store. Find vendor Jared. He should be near Moradon garrison. You should be able to buy cheap upgrade armors from him. Buy the cheapest one that fits your job!! And don't wear it!! Bring it straight back to me!!"
"7896","Hey!! I told you to get the cheap upgrade priest pauldron from the store. Find vendor Jared. He should be near Moradon garrison. You should be able to buy cheap upgrade armors from him. Buy the cheapest one that fits your job!! And don't wear it!! Bring it straight back to me!!"
"7897","Hey!! I told you to get the cheap upgrade priest pad from the store. Find vendor Jared. He should be near Moradon garrison. You should be able to buy cheap upgrade armors from him. Buy the cheapest one that fits your job!! And don't wear it!! Bring it straight back to me!!"
"7898","Hey!! I told you to get the cheap upgrade priest helmet from the store. Find vendor Jared. He should be near Moradon garrison. You should be able to buy cheap upgrade armors from him. Buy the cheapest one that fits your job!! And don't wear it!! Bring it straight back to me!!"
"7899","Hey!! I told you to get the cheap upgrade priest gauntlet from the store. Find vendor Jared. He should be near Moradon garrison. You should be able to buy cheap upgrade armors from him. Buy the cheapest one that fits your job!! And don't wear it!! Bring it straight back to me!!"
"7900","Hey!! I told you to get the cheap upgrade priest boots from the store. Find vendor Jared. He should be near Moradon garrison. You should be able to buy cheap upgrade armors from him. Buy the cheapest one that fits your job!! And don't wear it!! Bring it straight back to me!!"
"8000","Hehe.. You humans call me Drake the Crazy Magician. Do you want to become a mage or an elemental lord? "
"8001","Hehe.. Do you want to possess the strength of the elements? In order to become a mage or an elemental lord, you need to be level 60 or above. "
"8002","Hehe.. I can sense the hidden elemental force within you. I can help you bring out those hidden powers. What do you say? Would you like to make a deal with me? || I've also experienced the things you are now experiencing long time ago. It was even before Patos resurrected. I'm looking for a different kind of power now. New magic always requires expensive materials. Get me [a Kekuri Ring, 50 Gavolt Wings, 50 Zombie Eyes, a Cursed Bone, a Feather of Harpy Queen, 10 Blood of Glyptodont, 10 Crystals, 10 Opals, 10 Crude Sapphires]. Bring me these items and I'll help you bring out the hidden powers within you.  "
"8003","Hehe.. I guess you don't know the great powers of the elemental force. With such power I can sense the tiniest tones in the great nature. Come back when you feel this.  "
"8004","All the magicians are just lunatics striving to get more powerful. I guess you're one of them. Welcome back. I'll pass the power to you now. "
"8005","You can now use the power that was hidden within you. I guess it'll be hard to use it at first.. || If you can't control the power within you, it'll destroy you.  Haha!!!"
"8006","Alright then, I'll see you later you 'lunatic'!! I'm always willing to trade. And don't forget that I can ask for your soul in the future."
"8007","You're not ready to make a deal with me. Don't even think about fooling me..  Hehe.. "
"8011","I'm a crazy magician!! I require many things in order to acquire new power.  Hehe. |Most of the magicians say that it'd be foolish to trade with me. But nobody suffered any loss dealing with me. Hehe.. "
"9000","Do you really want to be a Divine Knight for the Holy Mother of Life? A Divine Knight will be empowered with the power of the Sharp Sword."
"9001","You need to be Level 60 or higher in order to become a Divine Knight for the Holy Mother of Life."
"9002","Recently, the Orc bandits have ambushed the Holy Knights that were heading to Moradon. There were no casualties but the holy water that was to be used for the holy ritual in the temple was stolen. We heard that the leader of Orcs in the Colony Zone is keeping the holy water right now. Bring [a Holy Water of Temple, 10 Crude Sapphires, 10 Crystals, 10 Opals, and 10,000,000 coins] as an offering to the temple. And I'll appoint you as a Holy Knight. "
"9003","The Holy Mother's always waiting for you. Well then.. farewell.. "
"9004","You brought the Holy Water of Temple!! I'll tell this wonderful news to the Holy Mother and prepare the ritual for your appointment as a Holy Knight. "
"9005","You have been appointed. You're not a regular priest anymore, you're a Holy Knight. The Holy Mother has granted you the privilege to thrust a sharp sword into the enemy's heart. May the Holy Mother's love be with you always.. "
"9006","You already are a Holy Knight. "
"9007","I'm sorry, but you're not ready to become a Holy Knight."
"9011","We can start the ritual when you bring those things. "
"10000","Do you want to learn about the level 70 skill? Or did you bring back all the stuff that I asked for? "
"10001","Do you remember the Hellsgarem Kingdom? A manual which was created to train warriors was written in this kingdom. You have to be well trained in order to learn the stuff in this manual. In order to prove that you are good|bring me a Silver Bar, a Scream Scroll, a Tail of Lesath, 30 Opals, 30 Bracelets of Orc Badit, 20 Magic Hammers, and 50 Tyon Meat. "
"10002","You do not have enough skill points. "
"10006","I hope you'll become an honorable warrior like the Warriors of Hellsgarem. "
"10007","My brave friend!! If you want to learn the level 70 skill, you need to prove your skill by retrieving a Silver Bar, Scream Scroll, Tail of Lesath, 30 Opals, 30 Bracelets of Orc Badit, 20 Magic Hammers, and 50 Tyon Meat."
"10014","You need to be level 70 in order to learn. "
"10017","You've already learned the skill. "
"10020","Do you want to learn about the level 70 skill? Or did you bring back all the stuff that I asked for? "
"10021","According to the Forgotten One the elders, the skill is as dangerous as it's very powerful. |Therefore the elders do not teach the skill to just any person. You need to prove that you are a strong rogue by retrieving a Silver Bar, Magic Shield, a Fang of Bakirra, 20 Cursed Bones, 30 Blood of Glyptodont, 5 Abyss Wings, and 50 Tentacles. "
"10031","I hope you can become the fastest and the farthest seeing rogue ever. "
"10032","In order to learn the level 70 skill, you need to retrive a Silver Bar, Magic Shield, a Fang of Bakirra, 20 Cursed Bones, 30 Blood of Glyptodont, 5 Abyss Wings, and 50 Tentacles. "
"10040","Do you want to learn about the level 70 skill? Or did you bring back all the stuff that I asked for? "
"10041","I know how to perform the natural magic that only the monks in the palace could perform. It took me a long time to learn this but if you bring me the things that I ask for, I'll teach it to you very quickly. |Please bring me a Silver Bar, an Absolute Power Scroll, a Tail of Shaula, 30 Crude Sapphires, 30 Bone of Dragon Tooth, 20 Sweeping Potions, and 50 Bee Sting. Don't ask me where I'll use these, I'm just looking for ways to strengthen my power all the time. "
"10051","You can now confide in yourself that you've reached the next level, which no other magician has ever reached. "
"10052","If you want to learn the natural magic from me, bring me a Silver Bar, an Absolute Power Scroll, a Tail of Shaula, 30 Crude Sapphires, 30 Bone of Dragon Tooth, 20 Sweeping Potions, and 50 Bee Sting. "
"10060","Do you want to learn about the level 70 skill? Or did you bring back all the stuff that I asked for? "
"10061","In order to revive your friends that have been buried beneath the Valley of Spirit, you must collect several materials from different regions. If you bring me the holiest items, I'll teach you this holy healing skill. |Please bring me a Silver Bar, a Judgment Scroll, a Feather of Harpy Queen, 30 Crystals, 30 Zombie Eyes, 2 Abyss Eyes, and 50 Poison Sacks as a sacrificial offering for the holy altar. "
"10071","May God be with you..  Always.. "
"10072","In order to learn the holy healing skills you need to bring a Silver Bar, a Judgment Scroll, a Feather of Harpy Queen, 30 Crystals, 30 Zombie Eyes, 2 Abyss Eyes, and 50 Poison Sacks. "
"10110","According to the blacksmiths, you've already picked up the present for the beginners. "
"10120","Hmm. I guess it's too early for you to receive help from me.. |Why don't you gain more experience in the war. "
"10130","Welcome to Moradon, the city of peace and trade!! | The courage and devotion of the heroes are keeping this city safe and sound from the monster's endless invasions. |Are you ready to become a hero to guard Moradon? "
"10140","After the war with Patos, the God of Destruction, the worms have fed on the corpses of the Dark Army and grew enormously. They multiplied rapily. We try exterminating them several times but we were unsuccessful.. |These worms carry [Silk Bundle]. Me and my fellow blacksmiths found a way to use these to make strings and ropes.|If you can get me 5 Silk Bundles from them, I'll give you a weapon that the blacksmiths of this village have made as a reward. "
"10150","Congratulations on becoming the valiant guardian of the Adonis continent. |There are still a lot of work to be done, but remember that the warriors and the wise fairies are always looking over you. "
"10210","Please help beginners(level 1~10) reach level 30 during the event. Get the beginner to nominate you. The users that receive a lot of nominations will receive some items as gift. "
"10211","Knight Online is currently having a 'Level Up' event until 6/10. |You need to be level 1~10 to participate. The goal is to reach level 30 or above by getting help from other users. "
"10220","Please reach level 30 during the event. We have prepared some items as a gift to the user that levels up the most during this event. If it's too hard for you to level up by yourself, do it by joining a clan or a party. Other users will gladly help you. And don't forget to give the Recommendation Item to the Clan leader or a user that helped you. "
"10230","There are still more time until the end of the event. Please try a little harder~!! "
"10240","Congratulations on leveling up. ^^ Please give the item that you've just received to a Clan Leader or a user that has helped you the most during the event. |Click on the user you want to recommend and type '/recommend' in the chatting window.|This item can be used only once. "
"10241","You do not have the Recommendation Item. "
"10242","Thank you for participating in the event. "
"10310","Find the 'Kiss' NPC and bring back 5 Kiss items. "
"10410","Hello. I'm Issac, the event NPC. Please select an event from the menu below. "
"10501","How do you do? I'm the new secretary. It's nice to meet you. I have some good news. Would you like to hear them? "
"10502","Okay.. This information is the event that will last until 6/18. Come see me anytime if you're interested. "
"10503","I'll tell you about this event. From today to June 25, if you bring 3 kind of seed, A,B and C , I'll give you a necklace worthy of sourvenir. Come to see me as soon as possible if you like."
"10504","Come back if you ever change your mind. "
"10505","I'll wait for your good news. "
"10506","Uh-oh, you don't have enough materials. You don't have a lot of time. Please hurry. "
"10507","Well done! You've collected all of A, B, C(3 seeds)! Good! Then, I'll make the necklace for you right now."
"10508","Come back if you ever change your mind. "
"10509","This is the necklace that you require. Good job and enjoy yourself during the Tano festival. "
"10510","You already have a great necklace. Hope you enjoy yourself during the Tano festival. "
"11003","I'm Warrior Master Skaky!! Only the warriors can learn fighting techniques from me!! "
"11006","Hey wimp!! You want to learn some fighting techniques from me? Then come back after you train a little more. "
"11008","I'm Warrior Master Skaky!! ||I teach warriors high-level combat techniques. In order to become the strongest warrior, you must go through endless battles to train both your body and your weapons skill.  Leading battles and sacrificing one's self for his comrades is the true glory for a brave warrior. ||I can only train you, the rest is up to you. So, what is it that you want? "
"11010","Warrior!! Which combat technique do you wish to learn from me? "
"11030","Hey wimp!! You do not qualify. Only the Blade Masters and the Berserker Heroes can learn the Master Skill from me. "
"11101","Warrior! Do you want me to tell you about 'scream'? Or did you bring the evidence that I've asked for? "
"11105","The Scream Skill has about the same destructive power as Sword Dancing. Also, it freezes the enemy in its track with fear. "
"11106","You need to prove your bravery in order to learn this skill. It'd be a shame to teach warrior's technique to a coward. "
"11107","Go to Eslante and hunt Harpys. Bring back [a Feather of Harpy Queen], [30 Crude Sapphires], and 5,000,000 coins and I'll teach you the Scream Skills. "
"11108","Warrior!! Good luck. "
"11120","Warrior!! You need to be level 63 in order to learn the Scream Skill!!"
"11130","Warrior!! You already have the Scream Scroll!! You cannot possess more than one Scream Scroll. "
"11140","Warrior!! You need 5,000,000 coins in order to learn the Scream Skill. "
"11150","Warrior!! In order to learn the Scream Skill, you need to prove your bravery by bringing back a Feather of Harpy Queen and 30 Crude Sapphires. "
"11170","Warrior!! You've received the Scream Scroll for using the Scream Skill. But this isn't the end to your training!! There are lots of other stuff you can learn!! "
"12003","My name is Clarence, the representative of the Rogue Guild. Only the rogues can hear my secrets about the seniors. "
"12006","You don't deserve to hear our secrets yet. Go and train some more. "
"12008","The eyes for keen sight during the night, a chaser, an arrow that penetrates a target and the dagger that pierces through the enemy's heart!! It's all about rogues!! || I'm Clarence the Guardian of Secrets!! I'll tell you the ancient secrets about assassins and archers. Of course, you're obligated to keep the secret. ||Which secret do you want to hear about?"
"12010","The seniors of the Rogue Guild are aware of the ancient secrets. I'm their representative, ||What kind of secret do you want to hear about?"
"12030","I'm sorry, but only the Master Rogues such as Shadow Vein and Kasar Hood can hear about the senior's secrets."
"12101","Do you want to learn about the Magic Shield? Or did you collect all the items that the senior asked for?"
"12105","The Magic Shield skill is a secret skill used to decrease the damage from magic attacks for a short period of time. We've been searching for a skill to disable the magician's attacks and this is one of the result. "
"12106","You must show your talent first in order to get the Magic Shield Scroll.The seniors believe that it'd be dangerous for an untalented rogue to learn new skills.  "
"12107","Go to Moradon and bring me [a Kekuri Ring], [30 Crystals] and 5,000,000 coins. And I'll teach you Magic Shield. "
"12108","Be on your way if you understood what I just told you. And remember! You must keep the secret!!"
"12120","I'm sorry, but you need to be level 62 in order to learn the Magic Shield skill. "
"12130","I'm sorry, but you already have the Magic Shield Scroll. "
"12140","I'm sorry, but you need 5,000,000 coins in order to learn the Magic Shield skill. "
"12150","I'm sorry, but you need [a Kekuri Ring] and [30 Crystals] in order to learn the Magic Shield skill. "
"12170","You're now granted to use the Magic Shield skill. Farewell then… "
"13003","Hey~ You're not a magician!! Don't bother me during my training. People call me Arch Mage Drake! Only the magicians are allowed to learn about the 4 elemental forces from me! "
"13006","Hey wimp!! Go train some more!! I'll tell you about the ancient magic when you are a little more stronger. "
"13008","Who are you to bother me during my training? Are you a mad magician like me, in search of more power? I've been training for a long time to acquire the absolute power. Everything requires sacrifice. Some magic even requires a human soul. I'm also going to require a a lot of things from you if you want to learn something from me. "
"13010","I can teach you the following magic. "
"13030","You really are a pest!! You cannot learn any magic from me unless you're an Arch Mage or an Elemental Lord. "
"13060","I can teach you the following magic. "
"13101","Magician!! Are you curious about the Abslute Power? Or are you ready to deal with me? "
"13105","The Absolute Power will temporarily increase all your magic damage!! It's hard to use it, but once you get the hang of it, it'll be very useful!"
"13106","You need to deal with me if you want to get the Absolute Power Scroll. For my endless experiments and training, I require many materials for magic.  "
"13107","Bring [3 each for all 5 kinds of Blessed Enchant Scroll] along with 5,000,000 coins!! I'll then teach you how to use Absolute Power. "
"13108","Get moving if you understood what I just told you!! I'll be here training.. "
"13120","Hey~! You need to be level 63 in order to learn the Absolute Power skill. Don't bother me anymore!! "
"13130","You can only possess one Absolute Power Scroll!! "
"13140","Bring me 5,000,000 coins if you want to learn the Aboslute Power skill!!"
"13150","Bring [3 each for all 5 kinds of Blessed Enchant Scroll]!! The deal is off If you can't bring these to me!!"
"13170","You now have the scroll for using the Absolute Power. I'll see you later then. "
"13801","Are you curious about the Thorn magic? Or are you ready to deal with me? "
"13803","The Thorn magic is a magic that inflicts damage to the enemies that are attacking you.. It's perfect for getting back at those that attack you from behind!"
"13804","You'll need to make a deal with me if you want to get the Spell of Thorn. I require many materials for my magic experiments. "
"13805","Bring me [30 Crystals, Crude Sapphire, and Opal] along with 5,000,000 coins and I'll teach you Thorn Magic!!"
"13806","Get moving if you understood what I just told you!! I'll be here training.. "
"13811","You need to be level 54 in order to learn the Thorn Magic, so stop bothering me!!!"
"13813","You're only allowed to carry one Spell of Thorn. "
"13815","Bring me 5,000,000 coins if you want to learn the Thorn Magic. "
"13817","Bring me [30 Crystals, Crude Sapphire, and Opal] if you want to learn the Thorn Magic!! The deal is off if you don't bring me these items!!"
"13830","You now possess the Spell of Thorn. I'll see you around then. "
"13831","Magician!! Are you curious about the Impact magic? Or are you ready to deal with me? "
"13833","Impact magic is used to attack a single enemy with powerful forces like 'Pillar of Fire' to inflict initial damage along with continuous damage which lasts for a certain period of time. This is a great magic to use when you face a strong opponent. "
"13834","You need to make a deal with me if you want to get the Spell of Impact. I'm always in need of materials for my magic experiments. One thing you must remember is that this magic is too strong, and cannot be used in repetition. You need to wait for a certain period of time before you can use it again. "
"13835","Bring me [All 5 parts of 3rd Goblin Armor for Magicians] along with 5,000,000 coins!! I'll then teach you how to use Impact Magic. "
"13836","Get moving if you understood what I just told you!! I'll be here training.. "
"13841","Hey~! You need to be level 57 in order to learn the Impact Magic, so stop bothering me!!"
"13843","You can only possess one Spell of Impact. "
"13845","Bring me 5,000,000 coins if you want to learn the Impact Magic!!"
"13847","Bring me [All 5 parts of 3rd Goblin Armor for Magicians]!! The deal is off if you don't bring me these items!! ||You never heard of Goblin Armors?? You idiot!! Go ask the vendors in Moradon. They'll tell you about it!!"
"13860","You now have the Spell of Impact. I'll see you later then. "
"14003","Hello. I'm Priest Minerva. I deliver divine messages from the Holy Mother to the priests. "
"14006","I'm Priest Minerva. I'll be able to disclose the divine message to you if you train just a little more. "
"14008","You're the priest that left for more training. Welcome back to the temple. ||I'm Priest Minerva, the keeper of this temple. I can ask the Holy Mother for her divine messages. "
"14010","I've received the following divine message from the Holy Mother for you. "
"14030","I'm sorry, but you do not qualify. Only Paladins and Shadow Knights can hear the divine message of Master Skill. "
"14101","Are you here to find out about the Judgment Skill? Or did you bring the offering materials for the altar? "
"14105","Judgment Skill greatly increases the weapon's regular attack damage. You'll be able to inflict greater damage to your enemies. "
"14106","In order to learn the Judgment skill, you must offer the necessary jewelries and cash as an offering to the Holy Mother's altar. "
"14107","You need to bring [100 Zombie Eyes] and [30 Opals] for the offering. "
"14108","Okay then.. Good luck~!"
"14120","I'm sorry, but you need to be level 62 in order to learn about the Judgment Skill. "
"14130","I'm sorry, but you already have the Judgment Scroll. "
"14140","I'm sorry, but you need to bring 5,000,000 coins in order to learn about the Judment Skill. "
"14150","I'm sorry, but you need to bring [100 Zombie Eyes] and [30 Opals] for the divine message. "
"14170","You now have the scroll for using the Judgment Skill. Please use it wisely.. "
"15001","I'm Captain Fargo, the defender of the Karus!! I assign special missions to the warriors of Karus to safeguard our nation from our enemies. What would you like to do to as a service for your country?"
"15002","I'm Captain Kunabarl, the defender of the El Morad!! I assign special missions to the warriors of El Morad to safeguard our nation from our enemies. What would you like to do as a service for your country?"
"15052","You've already completed the reconnaissance report mission. You can only do this mission once. "
"15053","Your level is too low to complete the reconnaissance report mission. Only a warrior with level 30~33 are allowed to do this mission. "
"15054","Your level is too low to complete the reconnaissance report mission. Only a warrior with level 30~34 are allowed to do this mission. "
"15055","Are you here to find out about the Reconnaissance Report mission? Or did you bring the recoinnaissance report? "
"15060","We have learned that an El Morad reconnaissance team has recently snuck into our nation and is drawing maps of the Bellua Village(821, 1802) area. We thought about sending our troops to wipe out this team.. "
"15061","But instaed, we've decided to deploy one of our spy amont this reconnaissance team. We've been getting reports from him regularly. "
"15062","However, a soldier that left recently to pick up the reconnaissance report from the spy has not returned yet. If you go eliminate the enemy and deliver the [Reconnaissance Order] and retrieve [5 Reconnaissance Map] and [a Reconnaissance Report], we'll increase your ability. "
"15063","Please remember that they must think that they are being attacked by a bandit, because if they find out that we sent you, they'll figure out that they've been discovered and will withdraw from our nation. "
"15065","We have learned that an Karus reconnaissance team has recently snuck into our nation and is drawing maps of the Western Valley(1485,963) area. We thought about sending our troops to wipe out this team.. "
"15066","But instaed, we've decided to deploy one of our spy amont this reconnaissance team. We've been getting reports from him regularly. "
"15067","However, a soldier that left recently to pick up the reconnaissance report from the spy has not returned yet. If you go eliminate the enemy and deliver the [Reconnaissance Order] and retrieve [5 Reconnaissance Map] and [a Reconnaissance Report], we'll increase your ability. "
"15068","Please remember that they must think that they are being attacked by a bandit, because if they find out that we sent you, they'll figure out that they've been discovered and will withdraw from our nation. "
"15078","You have not completed the mission yet. You need to bring [5 Reconnaissance Maps] and [a Reconnaissance Report] in order to complete the mission. "
"15080","Thank you for completing the mission. I'll reward you with experience points. "
"15081","Would you like to hear about the Silver Cross? Or do you already qualify? "
"15083","I bet you know about the Colony Zone where fierce battles against the enemy nation break out everyday. Eager soldiers like you are always wanted there. ||The Colony Zone is the gateway to the Great Continent!! Go to the Colony Zone right now and eliminate the enemy. ||Also, while you're at it, eliminate the Orc bandits that are in this area. "
"15084","If you get [10 Orc Earrings and 500 National points] from the Colony Zone, you'll be rewarded with a Silver Cross. "
"15090","Where's the Orc Earring? You need to bring 10 Orc Earrings to get the Silver Cross. "
"15091","You don't have enough National Points. You need to get 500 National Points to get the Silver Cross. "
"15092","You're qualifed to receive Silver Cross. I'll reward you with the honorable Silver Cross. "
"15101","Do you want to hear about the mission for the 7 Keys? Or did you bring all 7 keys? "
"15105","Before you were born.. There was a war that changed everything in this world. We still don't know how this war started or how it ended. "
"15106","Our magicians have recently created the 7 keys that would lead us to the Land of the Truth. They've made these according to the old texts that were found near the Land of the Fairies. Our warriors have started to explore these lands in order to find out more information about the secret land. We call them the Guardians of the 7 Keys. "
"15107","The Guardians are wandering around to study the ancient relics, in order to figure out the secret of Adonis Continent. So, I don't know where they are either. "
"15108","Find the Guardians of the 7 Keys and bring me the 7th key and I'll reward you with experience points. "
"15115","You should be level 50 or above in order to do this mission. Come back again when you have leveled up. "
"15116","You already have the Order of 7 Keys. "
"15118","You've already completed the mission for the 7 keys. You can only do this mission once. "
"15119","This is the proof that you're a Guardian of the 7 Keys. Go and find Sentinel, the Guardian of the 1st key!! Like the other 7 Guardians, Sentinel is wandering around the continent. Finding him will be up to you. "
"15120","Where's the 7th key? In order to complete the mission, you must bring the 7th key. "
"15125","You've met all 7 Guardians and brought the 7th key! I'll raise your experience points as a reward. "
"15803","I'm Sentinel, the Guardian of the 1st key! I give out riddles to the people that visits me with the Captain's Order of 7 Keys. "
"15805","I'm Sentinel, the Guardian of the 1st key! If you answer me correctly, I'll give you the key I've been guarding. However, if you get it wrong, you'll have to pay the price. ||What kind of power does Cypher have? "
"15810","Correct. Cipher has the power to destoy everything. When Logos cut off Cypher's head, the force of Patos that were kept inside Cypher has transformed into the Power of Destruction. Take this 1st Key and go look for the Watcher! He's probably wandering around in search of the past. Okay then, I'm heading off to find more information about the secrets of the keys. "
"15815","Wrong answer. As penalty, the Order of 7 Keys from the Captain has been destroyed. Farewell now, I'm going to head off to look for more information on the key's secret."
"15823","I'm Watcher, the Guardian of the 2nd key! I give out riddles to the person that possesses the 1st key. "
"15825","I'm Watcher, the Guardian of the 2nd key! If you answer me correctly, I'll give you the key I've been guarding. However, if you get it wrong, you'll have to pay the price. ||Patos was a God of what? "
"15830","Patos turned into the God of Destruction because of Cypher's Power of Destruction. However, he was the God that changed the order in Logos. Take this 2nd Key and go look for the Protector! He's probably wandering around in search of the past. Okay then, I'm heading off to find more information about the secrets of the keys. "
"15835","Wrong answer. As penalty, the 1st key that you have is destroyed. Farewell now, I'm going to head off to look for more information on the key's secret."
"15843","I'm Protector, the Guardian of the 3rd key! I give out riddles to the person that possesses the 2nd key. "
"15845","I'm Protector, the Guardian of the 3rd key! If you answer me correctly, I'll give you the key I've been guarding. However, if you get it wrong, you'll have to pay the price. ||What's in the box that Logos hid in the Land of the Fairies? "
"15850","Wrong answer. As penalty, the 2nd key that you have is destroyed. Farewell now, I'm going to head off to look for more information on the key's secret."
"15855","After decapitating Cypher's head, Logos sealed the head in a box and hid it in Minark Forest in the Land of the Fairies. According to the legend, when Patos' body finds the head of Cypher, the world will become as it was before Cypher appeared. However, Patos' body disappeared has disappeared. Take this 3rd Key and go look for the Ranger! He's probably wandering around in search of the past. Okay then, I'm heading off to find more information about the secrets of the keys. "
"15863","I'm Ranger, the Guardian of the 4th key! I give out riddles to the person that possesses the 3rd key. "
"15865","I'm Ranger, the Guardian of the 4th key! If you answer me correctly, I'll give you the key I've been guarding. However, if you get it wrong, you'll have to pay the price. ||Who is the son of El Morad's Emperor, that was deserted in the great prarie? "
"15870","Wrong answer. As penalty, the 3rd key that you have is destroyed. Farewell now, I'm going to head off to look for more information on the key's secret."
"15875","Son of Manes the Emperor, Zignon the prince of El Morad, was born with the appearance of an orc due to the curse from Patos. He was casted out into the great prarie because of his appearance. The only person that knew about this was Manes and he took this secret to his grave. Take this 4th Key and go look for the Patrol! He's probably wandering around in search of the past. Okay then, I'm heading off to find more information about the secrets of the keys. "
"15883","I'm Patrol, the Guardian of the 5th key! I give out riddles to the person that possesses the 4th key. "
"15885","I'm Patrol, the Guardian of the 5th key! If you answer me correctly, I'll give you the key I've been guarding. However, if you get it wrong, you'll have to pay the price. ||Did Logos create humans? "
"15890","The humans were born at the same time when Logos the God first appeared. Logos created fairies with the appearance of humans. Take this 5th Key and go look for the Recon! He's probably wandering around in search of the past. Okay then, I'm heading off to find more information about the secrets of the keys. "
"15895","Wrong answer. As penalty, the 4th key that you have is destroyed. Farewell now, I'm going to head off to look for more information on the key's secret."
"15903","I'm Recon, the Guardian of the 6th key! I give out riddles to the person that possesses the 5th key. "
"15905","I'm Recon, the Guardian of the 6th key! If you answer me correctly, I'll give you the key I've been guarding. However, if you get it wrong, you'll have to pay the price. ||Who was the first to be born in the chaos? "
"15910","Wrong answer. As penalty, the 5th key that you have is destroyed. I'm going to head off to look for more information on the key's secret. Farewell now."
"15915","Logos was the first to be born in the chaos. Patos, who was born after Logos, inspired changing forces into the Logos' order. Take this 6th Key and go look for the Kepper! He's probably wandering around in search of the past. Okay then, I'm heading off to find more information about the secrets of the keys. "
"15923","I'm Keeper, the Guardian of the 7th key! I give out riddles to the person that possesses the 6th key. "
"15925","I'm Keeper, the Guardian of the 7th key! If you answer me correctly, I'll give you the key I've been guarding. However, if you get it wrong, you'll have to pay the price. ||What was the name of the mountain range that Zignon crossed along with his followers? "
"15930","Wrong answer. As penalty, the 6th key that you have is destroyed. Farewell now, I'm going to head off to look for more information on the key's secret."
"15935","Zignon crossed the Iskanz mountain range to establish a nation called Karus. You have successfully completed the mission of the 7 keys. Take this 7th key and go visit the captain! The captain will reward you with experience points. Okay then, I'm heading off to find more information about the secrets of the keys. "
"15952","I keep track of the Knights and the ranks of our warriors. How can I help you? "
"15953","Quiet!! I'm the spy among the enemy's scouting soldiers. You're not the messenger from the Captain. Please don't tell anybody that you saw me."
"15955","Oh, this is the Captain's order!! You're the Messenger. I've been waiting for you for so long. Please take this report to the Captain!!"
